Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1738883573,800,,Aggregated,474.500000,222.000000,110,280,450,540,730,930,7300,56000,60000,61000,119000,528887,144064,110.0,1176.9407804457228,0.9429390047444031,118561.06592400465,3875.14015281147
1738883574,800,,Aggregated,476.500000,218.400000,110,280,450,540,730,930,7300,56000,60000,61000,119000,529439,144389,110.0,1177.031979068318,0.9429390047444031,118561.06592400465,3873.115735712707
1738883575,800,,Aggregated,474.000000,202.200000,110,280,450,540,730,930,7300,56000,60000,61000,119000,529943,144616,110.0,1177.3720474053252,0.9429390047444031,118561.06592400465,3871.490403684925
1738883576,800,,Aggregated,477.900000,212.600000,110,280,450,540,730,930,7300,56000,60000,61000,119000,530327,144785,110.0,1177.921465377023,0.9429390047444031,118561.06592400465,3871.722218555721
1738883577,800,,Aggregated,479.700000,214.600000,110,280,450,540,730,930,7300,56000,60000,61000,119000,530748,144968,110.0,1177.890814384683,0.9429390047444031,118561.06592400465,3871.4669692584803
1738883578,800,,Aggregated,473.200000,209.300000,110,280,450,540,730,940,7300,56000,60000,61000,119000,531241,145252,110.0,1178.1538254781447,0.9429390047444031,118561.06592400465,3869.9862171782675
1738883579,800,,Aggregated,467.300000,199.300000,110,280,450,540,730,930,7300,56000,60000,61000,119000,531692,145450,110.0,1178.5404029676904,0.9429390047444031,118561.06592400465,3868.9103277837544
1738883580,800,,Aggregated,458.900000,201.200000,110,280,450,540,730,930,7300,56000,60000,61000,119000,532243,145770,110.0,1178.3318530049946,0.9429390047444031,118561.06592400465,3867.576000060123
1738883581,800,,Aggregated,471.600000,211.300000,110,280,450,540,730,930,7300,56000,60000,61000,119000,532719,145886,110.0,1178.831112073526,0.9429390047444031,118561.06592400465,3866.994131990787
1738883582,800,,Aggregated,466.600000,212.700000,110,280,450,540,730,930,7300,56000,60000,61000,119000,533165,146085,110.0,1178.6151155048428,0.9429390047444031,118561.06592400465,3866.7692871812665
1738883583,800,,Aggregated,465.600000,204.900000,110,280,450,540,730,930,7300,56000,60000,61000,119000,533702,146317,110.0,1178.930478072616,0.9429390047444031,118561.06592400465,3865.490991227314
1738883584,800,,Aggregated,465.900000,203.600000,110,280,450,540,730,930,7300,56000,60000,61000,119000,534219,146664,110.0,1178.8845145045532,0.9429390047444031,118561.06592400465,3863.372184441212
1738883585,800,,Aggregated,470.800000,223.000000,110,280,450,540,730,930,7300,57000,60000,61000,119000,534677,146908,110.0,1179.223521566704,0.9429390047444031,118561.06592400465,3862.161798618605
1738883586,800,,Aggregated,470.100000,218.600000,110,280,450,540,730,930,7200,57000,60000,61000,119000,535241,147228,110.0,1178.8850751248974,0.9429390047444031,118561.06592400465,3861.0329832729553
1738883587,800,,Aggregated,466.000000,224.500000,110,280,450,540,730,930,7200,57000,60000,61000,119000,535726,147482,110.0,1179.028642612072,0.9429390047444031,118561.06592400465,3859.92415152522
1738883588,800,,Aggregated,473.700000,230.600000,110,280,450,540,730,930,7300,57000,60000,61000,119000,536154,147620,110.0,1179.6903042278784,0.9429390047444031,118561.06592400465,3860.125907854833
1738883589,800,,Aggregated,485.600000,243.400000,110,280,450,540,730,930,7300,57000,60000,61000,119000,536683,147860,110.0,1180.17651690913,0.9429390047444031,118561.06592400465,3859.303810629366
1738883590,800,,Aggregated,489.000000,243.500000,110,280,450,540,730,930,7300,57000,60000,61000,119000,537207,148134,110.0,1180.0451632316776,0.9429390047444031,118561.06592400465,3857.362009430257
1738883591,800,,Aggregated,480.400000,231.600000,110,280,450,540,730,930,7300,57000,60000,61000,119000,537624,148322,110.0,1180.2158337081153,0.9429390047444031,118561.06592400465,3856.420509501064
1738883592,800,,Aggregated,488.200000,237.300000,110,280,450,540,730,930,7400,57000,60000,61000,119000,538156,148589,110.0,1180.6911370337739,0.9429390047444031,118561.06592400465,3855.6249619069563
1738883593,800,,Aggregated,487.100000,238.900000,110,280,450,540,730,930,7400,57000,60000,61000,119000,538663,148800,110.0,1180.7296376410234,0.9429390047444031,118561.06592400465,3854.3344595786234
1738883594,800,,Aggregated,480.900000,240.400000,110,280,450,540,730,930,7400,57000,60000,61000,119000,539079,148999,110.0,1180.7357596700147,0.9429390047444031,118561.06592400465,3853.0230096145465
1738883595,800,,Aggregated,487.600000,240.500000,110,280,450,540,730,930,7400,57000,60000,61000,119000,539589,149149,110.0,1181.1001877199196,0.9429390047444031,118561.06592400465,3852.6402799167513
1738883596,800,,Aggregated,482.900000,241.200000,110,280,450,540,730,930,7400,57000,60000,61000,119000,540049,149384,110.0,1181.4259223412287,0.9429390047444031,118561.06592400465,3851.1583134123016
1738883597,800,,Aggregated,473.900000,222.800000,110,280,450,540,730,930,7400,57000,60000,61000,119000,540567,149712,110.0,1181.4811436684238,0.9429390047444031,118561.06592400465,3848.9172738994425
1738883598,800,,Aggregated,478.000000,219.400000,110,280,450,540,730,930,7400,57000,60000,61000,119000,541037,149984,110.0,1181.2775792910475,0.9429390047444031,118561.06592400465,3847.5756094315175
1738883599,800,,Aggregated,469.600000,210.700000,110,280,450,540,730,930,7400,57000,60000,61000,119000,541533,150186,110.0,1181.4344108179957,0.9429390047444031,118561.06592400465,3847.097412346062
1738883600,800,,Aggregated,475.300000,221.600000,110,280,450,540,730,930,7400,57000,60000,61000,119000,542018,150480,110.0,1181.5847136253403,0.9429390047444031,118561.06592400465,3845.8026928994977
1738883601,800,,Aggregated,475.300000,231.400000,110,280,450,540,730,930,7300,57000,60000,61000,119000,542556,150819,110.0,1181.3715596966179,0.9429390047444031,118561.06592400465,3843.490294089458
1738883603,800,,Aggregated,465.900000,227.000000,110,280,450,540,730,930,7400,57000,60000,61000,119000,543080,151016,110.0,1182.084095121106,0.9429390047444031,118561.06592400465,3842.335383368933
1738883604,800,,Aggregated,478.600000,242.500000,110,280,450,540,730,930,7400,57000,60000,61000,119000,543530,151184,110.0,1182.028232578561,0.9429390047444031,118561.06592400465,3842.984240060346
1738883605,800,,Aggregated,477.900000,239.900000,110,280,450,540,730,930,7400,57000,60000,61000,119000,544056,151450,110.0,1182.210852161311,0.9429390047444031,118561.06592400465,3842.237164924199
1738883606,800,,Aggregated,475.100000,232.900000,110,280,450,540,730,930,7400,57000,60000,61000,119000,544558,151651,110.0,1182.440174530945,0.9429390047444031,118561.06592400465,3840.809913728198
1738883607,800,,Aggregated,483.500000,240.000000,110,280,450,540,730,930,7400,57000,60000,61000,119000,544902,151809,110.0,1182.607316389513,0.9429390047444031,118561.06592400465,3840.9312867267877
1738883608,800,,Aggregated,483.500000,242.600000,110,280,450,540,730,930,7400,57000,60000,61000,119000,545309,151969,110.0,1183.1302806851972,0.9429390047444031,118561.06592400465,3840.4283479641817
1738883609,800,,Aggregated,472.400000,234.600000,110,290,450,540,730,940,7400,57000,60000,61000,119000,545782,152138,110.0,1183.7338348857973,0.9429390047444031,118561.06592400465,3839.344718220828
1738883610,800,,Aggregated,455.700000,216.900000,110,290,450,540,730,940,7400,57000,60000,61000,119000,546213,152298,110.0,1183.737909377247,0.9429390047444031,118561.06592400465,3839.4621731815246
1738883611,800,,Aggregated,461.600000,208.900000,110,290,450,540,730,940,7400,57000,60000,61000,119000,546676,152540,110.0,1183.9358278232817,0.9429390047444031,118561.06592400465,3837.8046008970578
1738883612,800,,Aggregated,451.500000,203.500000,110,290,450,540,730,940,7400,57000,60000,61000,119000,547091,152772,110.0,1184.2150538360743,0.9429390047444031,118561.06592400465,3836.2241162804726
1738883613,800,,Aggregated,453.600000,197.800000,110,290,450,540,730,940,7400,57000,60000,61000,119000,547555,152972,110.0,1184.5294300380533,0.9429390047444031,118561.06592400465,3835.1974340477213
1738883614,800,,Aggregated,439.300000,187.600000,110,290,450,540,730,940,7400,57000,60000,61000,119000,548029,153213,110.0,1184.5818887993612,0.9429390047444031,118561.06592400465,3834.0989418443182
1738883615,800,,Aggregated,436.000000,191.100000,110,290,450,540,730,930,7400,57000,60000,61000,119000,548458,153514,110.0,1184.5777097642122,0.9429390047444031,118561.06592400465,3832.1158064974893
1738883616,800,,Aggregated,435.400000,193.900000,110,290,450,540,730,930,7400,57000,60000,61000,119000,548953,153868,110.0,1184.5307969608682,0.9429390047444031,118561.06592400465,3829.850193003773
1738883617,800,,Aggregated,429.200000,197.000000,110,290,450,540,730,930,7400,57000,60000,61000,119000,549371,154106,110.0,1184.7401250668468,0.9429390047444031,118561.06592400465,3828.7246814993873
1738883618,800,,Aggregated,426.000000,208.400000,110,290,450,540,730,930,7400,57000,60000,61000,119000,549767,154235,110.0,1185.3459391851757,0.9429390047444031,118561.06592400465,3828.588469296993
1738883619,800,,Aggregated,435.900000,221.500000,110,290,450,540,730,940,7400,57000,60000,61000,119000,550188,154302,110.0,1185.6317734218846,0.9429390047444031,118561.06592400465,3829.2367663416867
1738883620,800,,Aggregated,439.600000,225.000000,110,290,450,540,730,940,7400,57000,60000,61000,119000,550651,154503,110.0,1185.9173685314693,0.9429390047444031,118561.06592400465,3829.07003710154
1738883621,800,,Aggregated,431.100000,217.200000,110,290,460,540,730,940,7400,57000,60000,61000,119000,551123,154821,110.0,1185.995152921164,0.9429390047444031,118561.06592400465,3826.7489906971764
1738883622,800,,Aggregated,432.900000,211.700000,110,290,460,540,730,940,7400,57000,60000,61000,119000,551562,155032,110.0,1185.9168991395625,0.9429390047444031,118561.06592400465,3826.576645961832
1738883623,800,,Aggregated,435.000000,221.400000,110,290,460,540,730,940,7400,57000,60000,61000,119000,552071,155243,110.0,1186.4599896731625,0.9429390047444031,118561.06592400465,3825.5115682584305
1738883624,800,,Aggregated,435.900000,221.100000,110,290,460,540,730,940,7400,57000,60000,61000,119000,552554,155441,110.0,1186.3931081058513,0.9429390047444031,118561.06592400465,3825.0507497909707
1738883625,800,,Aggregated,439.700000,223.600000,110,290,460,540,730,940,7400,57000,60000,61000,119000,552993,155764,110.0,1186.5907245269207,0.9429390047444031,118561.06592400465,3822.8919100241774
1738883626,800,,Aggregated,441.300000,220.300000,110,290,460,540,730,940,7400,57000,60000,61000,119000,553512,156046,110.0,1186.7070101255117,0.9429390047444031,118561.06592400465,3821.177701657778
1738883627,800,,Aggregated,442.700000,219.000000,110,290,460,540,730,940,7400,57000,60000,61000,119000,553950,156230,110.0,1187.0786909188002,0.9429390047444031,118561.06592400465,3820.884038270602
1738883628,800,,Aggregated,443.000000,216.100000,110,290,460,540,730,940,7400,57000,60000,61000,119000,554403,156398,110.0,1186.932350221648,0.9429390047444031,118561.06592400465,3820.752822405362
1738883629,800,,Aggregated,447.800000,212.100000,110,290,460,540,730,940,7400,57000,60000,61000,119000,554895,156659,110.0,1187.7381950184995,0.9429390047444031,118561.06592400465,3819.036246497085
1738883630,800,,Aggregated,446.100000,209.500000,110,290,460,540,730,940,7400,57000,60000,61000,119000,555359,156903,110.0,1187.7363911557911,0.9429390047444031,118561.06592400465,3817.8660542099797
1738883631,800,,Aggregated,456.000000,219.800000,110,290,460,540,730,940,7400,57000,60000,61000,119000,555787,157113,110.0,1187.9119023719363,0.9429390047444031,118561.06592400465,3816.823450350584
1738883632,800,,Aggregated,462.700000,236.400000,110,290,460,540,730,940,7400,57000,60000,61000,119000,556261,157410,110.0,1188.1043973296148,0.9429390047444031,118561.06592400465,3815.3462691074874
1738883633,800,,Aggregated,463.200000,231.900000,110,290,460,540,730,940,7400,57000,60000,61000,119000,556735,157563,110.0,1188.8662369108242,0.9429390047444031,118561.06592400465,3814.3751749036796
1738883634,800,,Aggregated,464.400000,231.200000,110,290,460,540,730,940,7500,57000,60000,61000,119000,557197,157710,110.0,1189.0760764454362,0.9429390047444031,118561.06592400465,3814.686819921859
1738883635,800,,Aggregated,460.000000,232.900000,110,290,460,550,730,940,7500,57000,60000,61000,119000,557638,157975,110.0,1189.3451181186833,0.9429390047444031,118561.06592400465,3812.822309455238
1738883636,800,,Aggregated,455.600000,226.600000,110,290,460,550,730,940,7500,57000,60000,61000,119000,558130,158238,110.0,1189.6801347203298,0.9429390047444031,118561.06592400465,3810.9077204235573
1738883637,800,,Aggregated,454.700000,217.700000,110,290,460,550,730,940,7400,57000,60000,61000,119000,558594,158512,110.0,1189.5654124648593,0.9429390047444031,118561.06592400465,3810.144641725475
1738883638,800,,Aggregated,456.900000,218.100000,110,290,460,550,730,940,7500,57000,60000,61000,119000,559146,158724,110.0,1190.1259206764382,0.9429390047444031,118561.06592400465,3809.0695346117113
1738883639,800,,Aggregated,453.800000,217.900000,110,290,460,550,730,940,7400,57000,60000,61000,119000,559584,158962,110.0,1189.7992012189052,0.9429390047444031,118561.06592400465,3808.502276691256
1738883640,800,,Aggregated,459.300000,226.500000,110,290,460,550,730,940,7500,57000,60000,61000,119000,560057,159202,110.0,1190.50586147313,0.9429390047444031,118561.06592400465,3806.8986353174764
1738883641,800,,Aggregated,460.800000,226.700000,110,290,460,550,730,940,7400,57000,60000,61000,119000,560478,159415,110.0,1190.445027216634,0.9429390047444031,118561.06592400465,3806.0690446368994
1738883642,800,,Aggregated,455.600000,226.200000,110,290,460,550,730,940,7500,57000,60000,61000,119000,560977,159542,110.0,1191.2556377947528,0.9429390047444031,118561.06592400465,3806.0064458970687
1738883643,800,,Aggregated,456.500000,222.900000,110,290,460,550,730,940,7500,57000,60000,61000,119000,561479,159825,110.0,1191.4555829260769,0.9429390047444031,118561.06592400465,3805.0304339075906
1738883645,800,,Aggregated,454.900000,205.100000,110,290,460,550,730,940,7500,57000,60000,61000,119000,561919,159962,110.0,1191.5448962947028,0.9429390047444031,118561.06592400465,3803.982089945348
1738883646,800,,Aggregated,463.400000,223.600000,110,290,460,550,730,940,7500,57000,60000,61000,119000,562394,160215,110.0,1191.3123348228767,0.9429390047444031,118561.06592400465,3803.00592645014
1738883647,800,,Aggregated,463.000000,219.700000,110,290,460,550,730,940,7500,57000,60000,61000,119000,562943,160622,110.0,1191.5889753812253,0.9429390047444031,118561.06592400465,3799.5390776686095
1738883648,800,,Aggregated,459.800000,212.800000,110,290,460,550,730,930,7400,57000,60000,61000,119000,563438,161025,110.0,1191.0251681799464,0.9429390047444031,118561.06592400465,3797.1913200742583
1738883649,800,,Aggregated,468.300000,230.700000,110,290,460,550,730,930,7400,57000,60000,61000,119000,563937,161170,110.0,1191.6478235820193,0.9429390047444031,118561.06592400465,3796.538950272814
1738883650,800,,Aggregated,475.600000,246.400000,110,290,460,550,730,930,7500,57000,60000,61000,119000,564356,161364,110.0,1192.063783152643,0.9429390047444031,118561.06592400465,3797.167126778133
1738883651,800,,Aggregated,471.500000,241.300000,110,290,460,550,730,940,7400,57000,60000,61000,119000,564877,161593,110.0,1192.0891638579858,0.9429390047444031,118561.06592400465,3795.982012013235
1738883652,800,,Aggregated,471.800000,236.800000,110,290,460,550,730,940,7400,57000,60000,61000,119000,565329,161923,110.0,1192.122256484902,0.9429390047444031,118561.06592400465,3793.3344158888012
1738883653,800,,Aggregated,466.800000,230.100000,110,290,460,550,730,940,7500,57000,60000,61000,119000,565734,162094,110.0,1192.8823131423355,0.9429390047444031,118561.06592400465,3792.364008526976
1738883654,800,,Aggregated,473.800000,242.900000,110,290,460,550,730,940,7500,57000,60000,61000,119000,566142,162251,110.0,1193.4034069515124,0.9429390047444031,118561.06592400465,3792.520238738691
1738883655,800,,Aggregated,466.800000,252.700000,110,290,460,550,740,940,7500,57000,60000,61000,119000,566638,162467,110.0,1193.505662151682,0.9429390047444031,118561.06592400465,3791.028363787815
1738883656,800,,Aggregated,456.700000,237.900000,110,300,460,550,740,940,7500,57000,60000,61000,119000,567099,162785,110.0,1193.6535181627444,0.9429390047444031,118561.06592400465,3788.8979613788774
1738883657,800,,Aggregated,461.800000,244.100000,110,300,460,550,740,940,7500,57000,60000,61000,119000,567520,162983,110.0,1194.1101688382814,0.9429390047444031,118561.06592400465,3788.0522871440653
1738883658,800,,Aggregated,460.700000,249.400000,110,300,460,550,740,940,7500,57000,60000,61000,119000,568013,163230,110.0,1194.258323841161,0.9429390047444031,118561.06592400465,3787.1839711415055
1738883659,800,,Aggregated,444.700000,231.600000,110,300,460,550,740,940,7500,57000,60000,61000,119000,568519,163532,110.0,1194.0818759375059,0.9429390047444031,118561.06592400465,3785.1876771048987
1738883660,800,,Aggregated,445.000000,213.800000,110,300,460,550,740,940,7500,57000,60000,61000,119000,568936,163791,110.0,1194.2697869048825,0.9429390047444031,118561.06592400465,3783.5653131459426
1738883661,800,,Aggregated,446.100000,227.600000,110,300,460,550,740,940,7500,57000,60000,61000,119000,569452,164102,110.0,1194.355502617815,0.9429390047444031,118561.06592400465,3782.0930016928555
1738883662,800,,Aggregated,443.200000,234.000000,110,300,460,550,740,940,7500,57000,60000,61000,119000,569916,164444,110.0,1194.1908746436447,0.9429390047444031,118561.06592400465,3780.2878055713472
1738883663,800,,Aggregated,450.800000,246.300000,110,300,460,550,730,940,7500,57000,60000,61000,119000,570421,164569,110.0,1194.8333278870127,0.9429390047444031,118561.06592400465,3780.2928941956907
1738883664,800,,Aggregated,453.300000,248.700000,110,300,460,550,730,940,7500,57000,60000,61000,119000,570925,164752,110.0,1194.8476875939623,0.9429390047444031,118561.06592400465,3781.0324368349607
1738883665,800,,Aggregated,455.400000,246.400000,110,300,460,550,740,940,7400,57000,60000,61000,119000,571445,165081,110.0,1194.7903769716843,0.9429390047444031,118561.06592400465,3778.8948997716316
1738883666,800,,Aggregated,466.000000,246.600000,110,300,460,550,730,940,7500,57000,60000,61000,119000,571885,165380,110.0,1195.316564035719,0.9429390047444031,118561.06592400465,3777.218269407311
1738883667,800,,Aggregated,467.600000,247.600000,110,300,460,550,730,940,7500,57000,60000,61000,119000,572346,165599,110.0,1195.651458591536,0.9429390047444031,118561.06592400465,3777.020471882393
1738883668,800,,Aggregated,467.400000,254.000000,110,300,460,550,730,940,7500,57000,60000,61000,119000,572853,165863,110.0,1195.6238502956112,0.9429390047444031,118561.06592400465,3775.9502786927887
1738883669,800,,Aggregated,476.300000,257.500000,110,300,460,550,730,940,7500,57000,60000,61000,119000,573270,165972,110.0,1196.3173278622744,0.9429390047444031,118561.06592400465,3775.9830481274093
1738883670,800,,Aggregated,473.700000,257.000000,110,300,470,550,730,940,7500,57000,60000,61000,119000,573799,166294,110.0,1196.0525994097068,0.9429390047444031,118561.06592400465,3774.35701003313
1738883671,800,,Aggregated,465.100000,247.600000,110,300,470,550,730,940,7500,57000,60000,61000,119000,574326,166690,110.0,1196.1398707769345,0.9429390047444031,118561.06592400465,3771.6226185128307
1738883672,800,,Aggregated,474.500000,241.000000,110,300,470,550,730,940,7500,57000,60000,61000,119000,574777,166880,110.0,1196.3321010866339,0.9429390047444031,118561.06592400465,3771.0952299761475
1738883673,800,,Aggregated,478.600000,250.700000,110,300,470,550,730,930,7400,57000,60000,61000,119000,575328,167244,110.0,1196.0612228543694,0.9429390047444031,118561.06592400465,3769.1869316285665
1738883674,800,,Aggregated,471.800000,241.300000,110,300,470,550,730,930,7500,57000,60000,61000,119000,575790,167471,110.0,1196.608432754337,0.9429390047444031,118561.06592400465,3767.585345351604
1738883675,800,,Aggregated,480.400000,245.600000,110,300,470,550,730,930,7500,57000,60000,61000,119000,576263,167658,110.0,1196.446059950269,0.9429390047444031,118561.06592400465,3768.1043464529216
1738883676,800,,Aggregated,481.800000,271.100000,110,300,470,550,730,930,7500,57000,60000,61000,119000,576823,168018,110.0,1196.4927260960603,0.9429390047444031,118561.06592400465,3765.790712228881
1738883677,800,,Aggregated,476.800000,265.900000,110,300,470,550,730,930,7500,57000,60000,61000,119000,577262,168313,110.0,1196.49925009061,0.9429390047444031,118561.06592400465,3764.208605451251
1738883678,800,,Aggregated,479.300000,253.100000,110,300,470,550,730,930,7400,57000,60000,61000,119000,577802,168529,110.0,1196.5337132620493,0.9429390047444031,118561.06592400465,3763.9669229251544
1738883679,800,,Aggregated,487.400000,264.200000,110,300,470,550,730,930,7500,57000,60000,61000,119000,578321,168822,110.0,1196.8669056190452,0.9429390047444031,118561.06592400465,3762.276598982226
1738883680,800,,Aggregated,481.900000,266.700000,110,300,470,550,730,930,7500,57000,60000,61000,119000,578760,168939,110.0,1197.377972727466,0.9429390047444031,118561.06592400465,3762.4336011472806
1738883681,800,,Aggregated,494.200000,272.300000,110,300,470,550,730,930,7500,57000,60000,61000,119000,579256,169207,110.0,1197.194027657113,0.9429390047444031,118561.06592400465,3762.0534772190535
1738883682,800,,Aggregated,493.200000,276.600000,110,300,470,550,730,930,7500,57000,60000,61000,119000,579805,169569,110.0,1197.3597574344963,0.9429390047444031,118561.06592400465,3759.497156802718
1738883683,800,,Aggregated,483.100000,250.600000,110,300,470,550,730,930,7500,57000,60000,61000,119000,580234,169665,110.0,1197.619148998886,0.9429390047444031,118561.06592400465,3760.1279897420695
1738883684,800,,Aggregated,489.800000,256.100000,110,300,470,550,730,930,7500,57000,60000,61000,119000,580729,169833,110.0,1197.9254627750477,0.9429390047444031,118561.06592400465,3760.728277733676
1738883685,800,,Aggregated,491.200000,259.400000,110,300,470,550,730,930,7500,57000,60000,61000,119000,581280,170151,110.0,1197.6243863848474,0.9429390047444031,118561.06592400465,3758.6941732039636
1738883686,800,,Aggregated,479.600000,230.700000,110,300,470,550,730,930,7500,57000,60000,61000,119000,581709,170386,110.0,1197.756475065597,0.9429390047444031,118561.06592400465,3757.3595629429833
1738883687,800,,Aggregated,487.000000,233.700000,110,300,470,550,730,930,7500,57000,60000,61000,119000,582193,170597,110.0,1197.7372801708002,0.9429390047444031,118561.06592400465,3757.508506629245
1738883688,800,,Aggregated,492.900000,245.700000,110,300,470,550,730,930,7500,57000,60000,61000,119000,582731,170873,110.0,1198.266243727495,0.9429390047444031,118561.06592400465,3755.7362453687892
1738883689,800,,Aggregated,477.300000,226.800000,110,300,470,550,730,930,7500,57000,60000,61000,119000,583161,171008,110.0,1199.0308167474245,0.9429390047444031,118561.06592400465,3756.1446187245033
